Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-07-24,3111.26171875,3128.4000771632996,3090.5032611034767,3098.659951717726,1680132
2023-07-25,3115.2939453125,3122.305243933692,3097.926465252558,3113.7818228908627,1272980
2023-07-26,3105.350341796875,3135.1822055035386,3102.325873004653,3116.3941167600838,1066803
2023-07-27,3113.232177734375,3126.750437306845,3102.3718797194615,3111.44506274488,1701769
2023-07-28,3075.19775390625,3110.2994489526377,3052.8354343417113,3102.3260117822556,2599831
2023-07-31,3135.731689453125,3140.4974033773265,3080.2380509028217,3083.445773087776,2743678
2023-08-01,3163.77685546875,3171.0629235048214,3129.82077565577,3129.82077565577,1956167
2023-08-02,3153.32861328125,3158.598443121832,3128.5376797292315,3148.1046527985704,1914899
2023-08-03,3116.027587890625,3146.546822678413,3086.7457070649953,3134.4033011170673,2026351
2023-08-04,3155.986083984375,3181.143744734498,3117.2184274785973,3117.2184274785973,2248493
2023-08-07,3193.104248046875,3196.7243469805094,3153.8783426165933,3165.517747179838,1853889
2023-08-08,3180.777587890625,3198.5115758637803,3167.946698425561,3193.104361947542,1634225
2023-08-09,3173.354248046875,3177.4784629540836,3139.0316598474765,3175.5537398295282,1794589
2023-08-10,3154.657470703125,3175.5533110759743,3143.6136964143225,3161.89766861704,1096701
2023-08-11,3160.79833984375,3177.157591339879,3128.9043665762088,3150.991918067584,1679974
2023-08-14,3161.760498046875,3166.480343065744,3126.1546889138212,3153.3744607157764,1190425
2023-08-16,3169.59619140625,3176.5616208724146,3148.3336194216304,3161.8977472619245,1328445
2023-08-17,3148.837890625,3171.796063632933,3128.1709479820706,3166.4803644355306,1843241
2023-08-18,3085.920654296875,3125.2380760753504,3076.205748488831,3125.2380760753504,2526749
2023-08-21,3117.5849609375,3125.008635730679,3090.4110623018846,3093.1605383359606,1375579
2023-08-22,3099.713623046875,3126.154509262279,3084.0417426084127,3116.0730963036494,1222012
2023-08-23,3114.469482421875,3117.906328021546,3094.077531863827,3105.0754377827743,1330046
2023-08-24,3104.846435546875,3128.033732845426,3096.0023753608025,3123.405402507195,1152881
2023-08-25,3098.934814453125,3103.0590289456754,3070.4776897039346,3093.1608694129627,1158046
2023-08-28,3093.664794921875,3110.5740285527827,3079.50503745056,3110.5740285527827,1037485
2023-08-29,3094.215087890625,3106.4962177667344,3083.9962892417298,3098.706033975188,944517
2023-08-30,3107.779296875,3123.4972729436513,3100.539097725863,3114.2406118768426,1188200
2023-08-31,3076.480712890625,3132.0199996616384,3064.4287075753277,3116.9896187870163,3417652
2023-09-01,3097.010009765625,3105.9916769517795,3076.4806765569438,3084.9123589907613,1277950
2023-09-04,3133.028564453125,3146.180316935127,3088.62456241485,3095.910630604843,1828332
2023-09-05,3142.972412109375,3159.148408891023,3120.7931233027793,3134.403121092921,1501842
